Name,Classifier 1,Classifier 2,Pantry1,Pantry2,Fridge1,Fridge2,Freezer1,Freezer2,xx,xx,Purchase Date,Opened Date,Days until expire (Unopened),Days until expire (RT),Days until expiry (Fridge),Day until expire (Frozen)
"TOMATOES (INCLUDING RED, YELLOW, GREEN, CHERRY, PLUM, ROMA) "," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
"TOMATOES (INCLUDING RED, YELLOW, GREEN, CHERRY, PLUM, ROMA) "," FRESH, RAW, SLICED OR CHOPPED",,,,3d,4d,2m,,,,,,,,,
"TOMATOES (INCLUDING RED, YELLOW, GREEN, CHERRY, PLUM, ROMA) "," FRESH, RAW, WHOLE",,1d,5d,5d,7d,2m,3m,,,,,,,,
TRUFFLES , FRESH,,,,2d,14d,6m,18m,,,,,,,,
TURNIP GREENS ," FRESH, COOKED",,,,3d,5d,10m,12m,,,,,,,,
TURNIP GREENS ," FRESH, RAW",,,,2d,3d,10m,12m,,,,,,,,
TURNIPS ," FRESH, COOKED",,,,3d,5d,8m,10m,,,,,,,,
TURNIPS ," FRESH, RAW",,,,2w,3w,8m,10m,,,,,,,,
WATER CHESTNUTS ," FRESH, RAW",,,,7d,10d,,,,,,,,,,
WATERCRESS ," FRESH, RAW",,,,2d,3d,,,,,,,,,,
YAMS ," FRESH, COOKED (INCLUDING BAKED, MASHED, CASSEROLES)",,,,3d,5d,10m,12m,,,,,,,,
YAMS ," FRESH, RAW",,5d,7d,,,10m,12m,,,,,,,,
ZUCCHINI ," FRESH, RAW, WHOLE",,,,4d,5d,10m,12m,,,,,,,,
